Country,Region,Legal Status,Regulatory Framework,Primary Regulator,VASP Licensing Regime,"AML/CFT Maturity (1=Weak, 5=Strong)",Travel Rule Implemented,Crypto Tax Rate,Chainalysis Adoption Rank 2025,Market Volume / Tier,Key Players & Exchanges,Gov't Enforcement Level (1-5),CBDC Status,Stablecoin Rules,Compliance Complexity (1-5),Market Opportunity Score (1-5),Priority Tier,Key Notes / Intelligence
United States,North America,Legal – Regulated,GENIUS Act (2025) + multi-agency,SEC/CFTC/FinCEN/OFAC,MSB + BitLicense (NY),5,"Yes – $3,000 threshold",Capital gains 0-37%,2,Very High (>$2.2T region),"Coinbase, Kraken, Gemini, Robinhood",4,Advanced pilot (FedNow),GENIUS Act – 100% reserve,5,5,TIER 1,Landmark GENIUS Act (Jul 2025); SEC/CFTC joint initiative; highest compliance spend globally
Canada,North America,Legal – Regulated,PCMLTFA + provincial rules,FINTRAC + provincial OSC/AMF,MSB registration required,4,"Yes – CAD 1,000",50% of gains at marginal rate,7,High,"Bitbuy, Newton, Coinsquare",3,Research phase,Proposed framework,4,4,TIER 1,Crypto ETFs on TSX; VASP registration with provincial regulators
Mexico,North America,Legal – Restricted,Fintech Law 2.0 (2025),CNBV / Banxico,Fintech license + VASP,3,Partial,35% flat,15,Medium-High,"Bitso, Volabit",3,Research phase,No specific framework,3,4,TIER 2,FATF presidency 2025; AML reform July 2025; $200K min capital for custodians
Germany,Europe – EU,Legal – MiCA,MiCA (full) + BaFin,BaFin,CASP license under MiCA,5,Yes – €0 threshold (MiCA),28% (Anschaffungskosten rule),12,High,"Bison, Trade Republic, Bitpanda DE",3,Advanced pilot,MiCA compliant,5,5,TIER 1,Largest EU crypto market; MiCA CASP passporting hub; strong institutional demand
France,Europe – EU,Legal – MiCA,MiCA + PSAN regime,AMF,CASP license under MiCA,5,Yes – €0 threshold,30% flat (PFU),22,High,"Coinhouse, Paymium",3,Pilot (e-euro),MiCA compliant,4,4,TIER 1,Strong AMF enforcement; PSAN pioneer; 110+ licensed VASPs in EU by 2026
Netherlands,Europe – EU,Legal – MiCA,MiCA + Wwft,DNB / AFM,CASP license under MiCA,5,Yes – €0 threshold,Box 3 wealth tax ~36%,18,Medium-High,"Bitvavo, Bitonic",4,Pilot (e-euro),MiCA compliant,5,4,TIER 1,Very strict AML; DNB known for tough enforcement on crypto firms
Spain,Europe – EU,Legal – MiCA,MiCA + VASP registry (CNMV),CNMV / Bank of Spain,CASP license under MiCA,4,Yes – €0 threshold,19-26% capital gains,28,Medium,"Bit2Me, Onyze",3,Research,MiCA compliant,4,3,TIER 2,Growing market; mandatory CNMV VASP registry since 2022
Italy,Europe – EU,Legal – MiCA,MiCA + OAM registry,OAM / Consob / Bank of Italy,CASP license under MiCA,4,Yes – €0 threshold,26% CGT,30,Medium,"Young Platform, Conio",3,Research,MiCA compliant,4,3,TIER 2,OAM registry 2022; MiCA transition 2025; growing retail market
Poland,Europe – EU,Legal – MiCA,MiCA + AML Act,KNF,CASP under MiCA,3,Yes – €0 threshold,19% flat,25,Medium,"Zonda, BitBay",2,Research,MiCA compliant,3,3,TIER 2,Popular licensing hub in Eastern Europe; lower costs than Western EU
Switzerland,Europe – Non-EU,Legal – Progressive,DLT Act (2020) + new FINMA rules,FINMA,VASP / Banking license,5,Yes (CARF aligned Jan 2026),"0% CGT (private), Corp tax",10,High,"Bitcoin Suisse, SEBA Bank, Sygnum",3,Research (e-CHF),New dedicated license (2026),4,5,TIER 1,Crypto Valley Zug; new payment/crypto licenses proposed 2026; CARF Jan 2026
United Kingdom,Europe – Non-EU,Legal – Regulated,FSMA 2023 + FCA regime,FCA,FCA registration (AML),4,Yes,20% CGT (higher rate),14,High,"CoinJar UK, Luno UK, eToro UK",4,Research (CBDC),Framework in development 2026,4,5,TIER 1,Full crypto regulatory framework expected late 2026; FCA very active enforcement
Malta,Europe – EU,Legal – MiCA,MiCA + VFA Act (2018),MFSA,CASP under MiCA,4,Yes – €0 threshold,0% CGT long-term,35,Medium,"Binance (formerly), OKX",2,Research,MiCA compliant,3,3,TIER 2,Pioneer 'Blockchain Island'; MiCA full implementation 2025
Portugal,Europe – EU,Legal – MiCA,MiCA + Banco de Portugal,Banco de Portugal / CMVM,CASP under MiCA,4,Yes – €0 threshold,28% CGT (since 2023),40,Medium,CriptoLoja,2,Research,MiCA compliant,3,3,TIER 2,Former crypto tax haven; 28% CGT since 2023; still significant expat crypto community
Estonia,Europe – EU,Legal – MiCA,MiCA + MLTFPA,FIU,CASP under MiCA,4,Yes – €0 threshold,20% CGT,45,Medium,Bitstamp (formerly licensed here),3,Research,MiCA compliant,3,3,TIER 2,Was top VASP licensing hub pre-MiCA; still active compliance market
Lithuania,Europe – EU,Legal – MiCA,MiCA + AMLA,Bank of Lithuania,CASP under MiCA,3,Yes – €0 threshold,20% flat,50,Medium,Multiple EU VASP licenses issued here,2,Research,MiCA compliant,3,3,TIER 2,Major VASP licensing jurisdiction; 200+ VASPs registered pre-MiCA
Ukraine,Europe – Other,Legal – Regulated,Virtual Assets Law (2022),NSSMC,VASP registration,3,Partial,18% + 1.5% military levy,1 (pop-adj),Very High (wartime hedge),"Kuna, WhiteBit",2,Pilot,No framework,3,5,TIER 1,#1 population-adjusted adoption; wartime crypto use; $206B received in 12 months
Russia,Europe – Other,Partial Ban – Sanctions,Digital Financial Assets Law,Bank of Russia / Rosfinmonitoring,Limited (no retail exchange),2,No,13% income tax,10,High ($379B volume),"Garantex (sanctioned), A7A5 stablecoin",2,Advanced (digital ruble),Ruble-backed stablecoin A7A5,4,2,TIER 4,Sanctions risk; $379B transactions; self-reliant crypto ecosystem; OFAC concerns
Singapore,Asia-Pacific,Legal – Regulated,Payment Services Act (PSA),MAS,Major Payment Institution lic,5,"Yes – SGD 1,500",0% CGT,8,High,"Crypto.com, OKX, Bybit HQ",4,Live (Project Orchid),MAS framework,5,5,TIER 1,Gold standard VASP regulation; FATF Mutual Evaluation 2025; tough but highly respected
Hong Kong,Asia-Pacific,Legal – Regulated,VASP Ordinance + Stablecoin Ord,SFC / HKMA,VASP license (SFC),5,Yes,0% CGT,Top 5 pop-adj,High,"OSL, HashKey, HSBC (stablecoin)",4,Research (e-HKD),Stablecoin Ordinance Aug 2025,5,5,TIER 1,HSBC & Anchorpoint first stablecoin licenses Apr 2026; A-S-P-I-Re framework
Japan,Asia-Pacific,Legal – Regulated,PSA + FIEA (2025 amendments),FSA,Crypto exchange registration,5,Yes,Misc income up to 55%,19,High,"bitFlyer, Coincheck, Liquid",4,Advanced (digital yen),Trust-company model only,5,4,TIER 1,FSA proposed reclassification as financial product 2025; most mature APAC market
South Korea,Asia-Pacific,Legal – Regulated,VAUPA (User Protection Act 2023),FSC / FSS,Reporting obligation + VASP,4,Yes,20% CGT (over KRW 2.5M),13,Very High,"Upbit, Bithumb, Korbit",4,Pilot (e-KRW),Competing stablecoin bills,4,5,TIER 1,First VAUPA prosecutions 2025; stablecoin legislation pending; massive retail market
India,Asia-Pacific,Legal – Restricted,VDA Framework (2022) + IT Act,SEBI / FIU-IND,VASP registration with FIU,4,Yes,30% flat + 1% TDS,1,Very High ($338B received),"WazirX, CoinDCX, ZebPay",3,Pilot (e-rupee),No framework,4,5,TIER 1,#1 global adoption; 99% YoY growth; high tax friction creates compliance demand
Australia,Asia-Pacific,Legal – Regulated,New crypto bill (2025),AUSTRAC / ASIC,DCE registration (AUSTRAC),4,Yes,CGT (50% discount if >1yr),16,High,"CoinSpot, Swyftx, BTC Markets",3,Research (eAUD),Treasury consultation 2025,4,4,TIER 1,Major licensing reform 2025; AUSTRAC active AML enforcement
Vietnam,Asia-Pacific,Legal – Formal (Jan 2026),Ministry of Finance framework,State Bank / MOF,New licensing regime (2026),2,Partial,TBD (new law 2026),4,Very High,"VNDC, Gotchi",2,Research,No framework,2,5,TIER 1,46th country to formalize Jan 2026; #4 global adoption; massive grassroots use
Pakistan,Asia-Pacific,Legal – Gray Zone,No formal framework,SBP (advisory warnings),,1,No,Unclear,3,High (remittances),"Paxful, Binance peer-to-peer",1,Research,,1,4,TIER 2,#3 global adoption; primarily P2P; strong remittance use; framework expected
Thailand,Asia-Pacific,Legal – Regulated,Digital Asset Business Decree,SEC Thailand,Exchange license (SEC),4,Yes,15% withholding CGT,23,Medium-High,"Bitkub, Zipmex",3,Pilot (digital baht),No specific rules,3,4,TIER 2,SEC very active; Bitkub dominant exchange; digital baht pilot
Indonesia,Asia-Pacific,Legal – Regulated,CoFTRA Regulation + OJK 2025,OJK / Bappebti,Futures exchange license,3,Partial,0.1% transaction tax,20,Medium-High,"Indodax, Tokocrypto",2,Pilot (digital rupiah),No specific rules,3,4,TIER 2,Transferred from Bappebti to OJK 2025; large Muslim population & halal crypto interest
Philippines,Asia-Pacific,Legal – Regulated,BSP Circular 1108 (2021),BSP,VASP license (BSP),3,Yes,Regular income tax rates,26,Medium,"PDAX, Coins.ph",2,Pilot,No framework,2,3,TIER 2,Remittance-driven adoption; BSP active licensing; Play-to-earn NFT hub
Malaysia,Asia-Pacific,Legal – Regulated,Capital Markets & Services Act,SC Malaysia,Recognized Market Operator,3,Yes,0% CGT,32,Medium,"Luno, MX Global",2,Pilot (e-ringgit),No framework,3,3,TIER 2,SC proactive; Luno dominant; 0% CGT attractive but income tax applies
China,Asia-Pacific,Total Ban,PBC + multiple decrees,PBC / MIIT / NFRA,Banned,1,N/A – Banned,,20,Underground ($379B equiv),None (banned) / underground P2P,5,Live (e-CNY – most advanced),N/A – banned,5,1,TIER 5,Complete ban 2021; e-CNY world's most advanced CBDC; underground activity persists
Taiwan,Asia-Pacific,Legal – Regulated,Payment Services Act + AML,FSC Taiwan,Registration with FSC,3,Yes,Income tax on gains,38,Medium,"MaiCoin, BitoPro",2,Research,Emerging rules,3,3,TIER 2,FSC active AML oversight; Taiwan independent from China's ban
UAE,Middle East,Legal – Progressive,VARA (Dubai) + ADGM framework,VARA / ADGM / FSRA,Full VASP license (VARA),5,Yes,0% CGT / income tax,11,High,"Binance MENA, OKX, Bybit, Kraken",4,Pilot (digital dirham),VARA stablecoin rules,4,5,TIER 1,World's top crypto hub; VARA unified framework; 0% tax; Dubai is global crypto HQ
Bahrain,Middle East,Legal – Regulated,CBB Crypto-Asset Module,CBB (Central Bank of Bahrain),Category 4 license (CBB),4,Yes,0% CGT,55,Medium,"Rain Financial, Coinstore",3,Research,No specific rules,3,3,TIER 2,First MENA country to regulate crypto (2019); Rain exchange licensed
Saudi Arabia,Middle East,Restricted,No formal framework,SAMA / CMA,No licensing regime,1,No,No income tax,42,Medium,None domestically licensed,3,Advanced pilot (mBridge),,2,3,TIER 3,Vision 2030 opens door; mBridge CBDC cross-border; gradual opening expected
Israel,Middle East,Legal – Regulated,Securities Law + Tax Authority,ISA / Bank of Israel,Reporting + AML only,3,Yes,25% CGT,44,Medium,"Bits of Gold, eToro HQ",2,Research,No framework,3,3,TIER 2,Regulatory property classification; eToro headquartered here; tech hub
Turkey,Middle East,Legal – Payment Ban,Crypto Law 7491 (2024),BDDK / SPK,Exchange licensing law 2024,3,Yes,0% CGT (proposed 2024),17,Very High (lira hedge),"BtcTurk, Paribu",4,Research,Payment use banned,4,4,TIER 2,Payments ban 2021; massive inflation-driven adoption; new licensing law 2024
Egypt,Middle East,Total Ban,Law No. 194 of 2020,CBE,Banned,1,,,52,Underground,None licensed,4,Pilot (digital pound),,3,1,TIER 5,Complete ban; fatwa from Al-Azhar; CBE digital pound pilot in progress
Qatar,Middle East,Partial Ban,QFC sandbox only,QCB / QFC,QFC sandbox only,2,No,0% (no tax system),60,Low,None domestic,3,Research,,2,2,TIER 4,Crypto banned for retail; QFC regulatory sandbox for institutional fintech only
Kuwait,Middle East,Total Ban,CBK Circular 2017 + reaffirmed,CBK,Banned,1,,,65,Underground,,3,No,,2,1,TIER 5,Central Bank ban reaffirmed; oil-wealth country resistant to crypto
Brazil,Latin America,Legal – Regulated,Law 14.478 (2023) + BCB rules,BCB + CVM,BCB authorization required,4,Yes,15-22.5% CGT,5,Very High,"Mercado Bitcoin, Foxbit, Binance BR",3,Pilot (DREX/digital real),BCB oversight (>$100K report),4,5,TIER 1,BCB full VASP framework 2025; $100K reporting; DREX CBDC; 270-day grace period
Argentina,Latin America,Legal – Regulated,CNV GR 994 (2024) + GR 1058,CNV,PSAV registration (CNV),3,Yes,15% CGT,20,High (inflation hedge),"Lemon Cash, Belo, Ripio",2,Research (digital peso),Tokenized assets sandbox 2025,3,4,TIER 2,GR 1058 May 2025 raised VASP compliance bar; tokenized asset framework; inflation hedge
Colombia,Latin America,Legal – Supervised,Fintech sandbox + SFC oversight,SFC / Superintendencia Fin,Sandbox / reporting,3,Partial,35% income tax,33,Medium,"Buda.com, Bitso CO",2,Research,No framework,2,3,TIER 2,SFC tightening AML expectations 2025; sandbox approach; significant adoption
El Salvador,Latin America,Legal – Progressive,Bitcoin Law (softened 2025) + DASP,CNAD + BCR,DASP / BSP license,3,Yes,0% CGT for foreigners,48,Medium,"Chivo, Strike, Bitfinex",2,No (dropped mandate),Stablecoin emerging,2,3,TIER 2,Mandatory BTC tender revoked Feb 2025; institutional bank crypto services law Aug 2025
Venezuela,Latin America,Legal – Gray Zone,SUNACRIP decree,SUNACRIP,Registration,2,No,Unclear,37,High (Bolivar crisis),"LocalBitcoins, Binance P2P",1,State-backed (Petro),,2,3,TIER 3,Extreme hyperinflation drives P2P adoption; Petro CBDC largely failed
Chile,Latin America,Legal – Supervised,Fintech Law 21.521 (2023),CMF,CMF registration,3,Partial,27% income tax,41,Medium,"Buda.com, Orionx",2,Research,No framework,2,3,TIER 2,CMF tightening AML 2025; Fintech Law brought crypto under supervision
Peru,Latin America,Legal – Gray Zone,No formal framework,SBS,,1,No,Unclear,46,Medium,LocalBitcoins P2P,1,Research,,1,3,TIER 3,$403M crypto market; no formal regulation; blockchain pilot government projects
Nigeria,Sub-Saharan Africa,Legal – Regulated,ISA 2025 (securities) + VASP rules,SEC Nigeria / CBN,SEC registration,3,Partial (Travel Rule rollout),10% CGT,6,Very High,"Patricia, Yellow Card, Quidax",3,Pilot (eNaira),CBN oversight,3,5,TIER 1,#6 global adoption; ISA 2025 classifies crypto as securities; high youth adoption
Kenya,Sub-Saharan Africa,Legal – Gray Zone,No formal crypto law,CMA / CBK,,1,No,3% digital asset tax,27,Medium,"Paxful, Binance P2P",1,Research,,1,3,TIER 2,M-PESA crypto integration; CMA watchful; 3% digital asset levy since 2023
South Africa,Sub-Saharan Africa,Legal – Regulated,FSCA CASP framework (2022),FSCA / FIC,FSP license (FSCA),4,Yes,CGT or income tax,34,Medium,"VALR, AltcoinTrader, Luno SA",3,Research (eZAR),FSCA oversight,3,4,TIER 1,CASP licensing well established; FSCA active enforcement; FATF greylist removed 2025
Ghana,Sub-Saharan Africa,Total Ban,Bank of Ghana directive,BOG,Banned,1,,,58,Underground,,2,Research (e-cedi),,2,1,TIER 5,BOG ban persists; e-Cedi CBDC pilot; underground P2P activity continues
Ethiopia,Sub-Saharan Africa,Legal – Gray Zone,National Bank directives,NBE,,1,No,,12,Medium-High,"Binance P2P, crypto mining",1,Research,,1,4,TIER 2,#12 global adoption index 2025; significant crypto mining; no formal framework
Tanzania,Sub-Saharan Africa,Restricted,BOT warning letters,BOT,,1,No,,60,Low-Medium,Binance P2P,1,No,,1,2,TIER 4,BOT warns citizens against crypto; no enforcement framework; limited activity
Algeria,Africa – N.Africa,Total Ban + Criminal,Law 25-10 (Jul 2025) – criminalized,Ministry of Finance / Bank of Algeria,Banned + criminal penalties,1,,,56,Underground,,5,Research,,5,1,TIER 5,"July 2025: criminalized ALL crypto; up to 1yr prison; $7,700 fine; despite #2 N.Africa adoption"
Morocco,Africa – N.Africa,Total Ban (reviewing),Foreign Exchange Regs + draft law,Bank Al-Maghrib,Banned (draft law in progress),2,No,,43,Underground (high P2P),,3,Research,,3,2,TIER 4,Ban since 2017; draft regulation law in progress; Bank Al-Maghrib exploring CBDC
Tunisia,Africa – N.Africa,Total Ban,Central Bank decree,BCT,Banned,1,,,62,Underground,,2,No,,2,1,TIER 5,Full ban; BCT decree; some underground P2P activity
Georgia,Eastern Europe,Legal – Light-touch,National Bank regulations,NBG,Registration required,2,No,0% for individuals,3 pop-adj,High (pop-adj),Various CEX,1,No,,2,4,TIER 2,#3 population-adjusted adoption; low taxes; light regulatory touch; mining hub
Kazakhstan,Central Asia,Legal – Regulated,Digital Assets Law (2023),AFSA (AIFC) / NBK,AFSA license (Astana Int'l FC),3,Yes,15% income tax on gains,29,Medium,"Binance KZ, ATAIX",2,Pilot,AFSA oversight,2,3,TIER 2,Major Bitcoin mining hub post-China ban; AIFC regulatory sandbox; 15% tax
Uzbekistan,Central Asia,Legal – Regulated,Presidential Decree + NAFU,NAFU,NAFU license,2,Yes,0% for licensed exchanges,47,Medium,Uznex,2,Research,,2,3,TIER 2,NAFU licensing regime; 0% tax for licensed exchanges; growing market
Moldova,Eastern Europe,Legal – Gray Zone,No formal framework,NBM,,1,No,12-18%,2 pop-adj,High (pop-adj),Various P2P,1,Research,,1,3,TIER 2,#2 population-adjusted adoption; no formal framework; strong grassroots use
Bangladesh,South Asia,Total Ban,Money Laundering Prevention Act,Bangladesh Bank,Banned – up to 10yrs prison,1,,,63,Underground,,3,Research,,3,1,TIER 5,Declared illegal 2017; up to 10 years imprisonment; underground activity continues
Nepal,South Asia,Total Ban,NRB directive,Nepal Rastra Bank,Banned,1,,,66,Underground,,2,Research,,2,1,TIER 5,"NRB declared crypto illegal; trading, mining, and exchange all banned"
Sri Lanka,South Asia,Legal – Gray Zone,No formal framework,CBSL,,1,No,Unclear,57,Low,Binance P2P,1,No,,1,2,TIER 4,No formal regulation; CBSL warned against use; economic crisis drove some crypto interest
Myanmar,Southeast Asia,Restricted,No formal framework / junta rule,CBM,,1,No,,54,Low,Binance P2P,1,No,,1,1,TIER 5,Military junta; political instability; crypto used for conflict financing concerns
Cambodia,Southeast Asia,Legal – Emerging,Prakas on Digital Assets (2023),NBC / SERC,License required,2,No,Unclear,53,Low-Medium,Huobi KH,2,Research,,2,2,TIER 4,Prakas regulation 2023; NBC requires licensing; still nascent market
New Zealand,Asia-Pacific,Legal – Regulated,Financial Markets Conduct Act,FMA,FSP registration,3,Yes,Income tax on gains,36,Medium,"Easy Crypto, Swyftx NZ",2,Research,No framework,3,3,TIER 2,FMA active; FSP registration required; income tax treatment creates compliance needs
Cayman Islands,Caribbean,Legal – Offshore,VASP Act (2020),CIMA,VASP registration (CIMA),3,No,0% tax,70,High (institutional),Multiple hedge funds / DeFi,2,No,,2,4,TIER 2,Key institutional crypto domicile; CIMA VASP register; no tax; offshore hub
Panama,Latin America,Legal – Gray Zone,Law 129 (2022) – passed not active),SMV,Pending implementation,2,No,0% tax,49,Medium,Various offshore entities,1,Research,,1,3,TIER 3,Law 129 passed 2022 but implementation stalled; no capital gains; offshore appeal
Iraq,Middle East,Total Ban,Central Bank directive (2017),CBI,Banned,1,,,64,Underground (survival use),,2,Research,,2,1,TIER 5,Full ban; people use crypto for basic goods (insulin story); humanitarian concern
Jordan,Middle East,Restricted,CBJ circular,CBJ,,1,No,Unclear,5 pop-adj,High (pop-adj),Binance P2P (was cut by FATF greylist),2,Research,,2,3,TIER 3,#5 population-adjusted adoption; CBJ circulars restrict but don't ban; FATF greylist 2024
Seychelles,Indian Ocean,Legal – Light-touch,Virtual Asset Act (2024),FSA Seychelles,VASP registration,2,No,0%,70,Medium (offshore),"Binance (formerly), Huobi (formerly)",1,No,,1,3,TIER 3,Offshore domicile for many global exchanges; new VA Act 2024; low tax
Bermuda,Caribbean,Legal – Progressive,Digital Asset Business Act (2018),BMA,Class F / DAB license,4,No,0% tax,70,High (institutional),"Circle (USDC licensed), FTX (former)",2,No,BMA framework,3,4,TIER 2,Pioneer crypto regulation; Circle USDC licensed here; BMA very active
Gibraltar,Europe – Other,Legal – Regulated,DLT Provider Regulations (2018),GFSC,DLT Provider license,4,Yes,10% corporate tax (no CGT),70,Medium,"Huobi (licensed), Revolut (licensed)",2,Research,No framework,3,3,TIER 2,Pioneer DLT licensing since 2018; low tax; many exchanges licensed here
Afghanistan,Central Asia,Total Ban,Taliban decree,Da Afghanistan Bank,Banned,1,,,68,Near-zero,,1,No,,1,1,TIER 5,Taliban banned crypto; activity collapsed post-2021; was tracked by Chainalysis pre-ban
North Macedonia,Europe – Other,Total Ban,Law on Prevention of ML (2023),National Bank of N. Macedonia,Banned since 2023,1,,,70,Underground,,2,No,,2,1,TIER 5,Ban enacted 2023; most recent addition to banned list; small market
Bolivia,Latin America,Partial Ban (easing),BCB resolutions,BCB,No exchange licensing,1,Partial,,67,Underground,,2,Research,,2,1,TIER 5,Original ban; BCB Res 1/2024 allowed banks to offer crypto services; partial reversal
