Country,legal_status,adoption,aml_cft_maturity,enforcement_intensity,market_volume_tier,institutional_depth,deadline_proximity,lifecycle_stage,trigger_type,non_compliance_gap,demand_signal_momentum,regime_note
United States,Legal – Regulated,5,5,5,5,5,3,5,5,4,5,"GENIUS Act stablecoin enforcement ramping 2025-2026"
Canada,Legal – Regulated,5,4,4,4,4,2,3,3,2,3,"PCMLTFA mature; provincial CSA"
Mexico,Legal – Restricted,4,3,3,4,3,2,3,3,3,3,"Fintech Law 2.0; CNBV"
Germany,Legal – MiCA,4,5,5,5,5,5,5,4,4,5,"MiCA enforcement live Jan 2025; BaFin transition deadlines"
France,Legal – MiCA,4,5,5,4,5,5,5,4,4,5,"MiCA + PSAN-to-CASP transition"
Netherlands,Legal – MiCA,4,5,4,4,4,5,5,4,4,4,"MiCA; AFM/DNB"
Spain,Legal – MiCA,3,4,3,4,4,5,5,4,3,4,"MiCA + CNMV"
Italy,Legal – MiCA,3,4,3,4,3,5,5,4,3,4,"MiCA; CONSOB"
Poland,Legal – MiCA,3,3,3,3,3,5,5,4,4,4,"MiCA; KNF"
Switzerland,Legal – Progressive,5,5,5,4,5,2,2,2,2,3,"DLT Act mature 2020; FINMA"
United Kingdom,Legal – Regulated,4,4,4,4,5,4,5,5,4,5,"FSMA 2023 crypto regime; FCA gateway 2026"
Malta,Legal – MiCA,3,4,3,3,4,3,2,2,2,3,"VFA→MiCA transition done"
Portugal,Legal – MiCA,2,3,2,3,2,5,5,4,3,3,"MiCA + Bank of Portugal"
Estonia,Legal – MiCA,3,4,4,3,3,5,5,4,3,3,"MiCA + FIU"
Lithuania,Legal – MiCA,3,4,3,3,3,5,5,4,4,4,"MiCA; major VASP hub historically"
Ukraine,Legal – Regulated,5,3,2,3,2,3,2,2,4,4,"VA Law 2022 awaiting Rada implementation"
Russia,Legal – Gray Zone,4,2,2,4,2,3,3,3,3,3,"DFA Law + mining bill"
Singapore,Legal – Regulated,4,5,4,4,5,2,3,3,2,3,"PSA mature; stablecoin/DPT updates ongoing"
Hong Kong,Legal – Regulated,5,5,4,4,5,4,5,5,4,5,"VASP licensing + Stablecoin Ordinance Aug 2025"
Japan,Legal – Regulated,4,5,5,4,5,4,3,3,3,4,"PSA/FIEA 2025 amendments"
South Korea,Legal – Regulated,4,4,5,4,4,3,3,3,4,4,"VAUPA 2023 phase 2 + token classification"
India,Legal – Restricted,5,4,3,5,4,1,2,1,3,2,"VDA tax + AML only; no licensing"
Australia,Legal – Regulated,4,4,3,4,4,4,4,5,4,5,"Crypto licensing bill 2025; ASIC; transition"
Vietnam,Legal – Formal (Jan 2026),5,2,2,4,2,4,5,5,5,5,"NEW REGIME Jan 2026; MoF framework"
UAE,Legal – Progressive,4,5,5,4,5,3,4,3,3,4,"VARA + ADGM; mature but expanding"
Brazil,Legal – Regulated,5,4,3,5,4,5,5,5,4,4,"IN 701 BCB licensing Oct 2026 - ANCHOR"
Nigeria,Legal – Regulated,5,3,3,4,3,4,5,5,5,4,"ISA 2025 + SEC VASP rules"
South Africa,Legal – Regulated,3,4,3,3,3,3,3,3,3,3,"FSCA CASP licensing mature"
Pakistan,Legal – Gray Zone,4,2,2,3,2,5,5,5,5,5,"PVARA Nov 2025 NEW REGIME - seed stale"
Thailand,Legal – Regulated,3,4,4,3,3,3,3,3,3,3,"SEC Thailand mature"
Indonesia,Legal – Regulated,5,3,3,4,3,3,3,3,3,3,"Bappebti→OJK transition Jan 2025"
Philippines,Legal – Regulated,4,3,3,3,3,3,3,3,3,3,"BSP + SEC PH"
Malaysia,Legal – Restricted,3,3,3,3,3,3,3,3,3,3,"SC; DAX framework"
Taiwan,Legal – Regulated,3,3,3,3,3,4,4,4,4,4,"VASP Act 2025; FSC"
Bahrain,Legal – Regulated,2,4,3,2,3,3,3,3,2,2,"CBB mature"
Israel,Legal – Regulated,3,4,3,3,4,2,3,2,2,2,"ISA framework mature"
Turkey,Legal – Restricted,5,2,2,5,3,4,5,5,5,5,"Capital Markets Law amendment 2025; CMB"
Argentina,Legal – Gray Zone,5,2,2,4,2,3,3,3,4,4,"CNV VASP registry"
Colombia,Legal – Gray Zone,4,2,2,3,2,1,1,1,2,2,"No formal framework"
El Salvador,Legal – Progressive,2,2,2,2,2,2,2,2,2,2,"Bitcoin Law mature; CNAD"
Chile,Legal – Regulated,3,3,3,3,3,3,3,3,3,3,"Fintech Law CMF"
Kenya,Legal – Gray Zone,4,2,2,3,2,4,5,5,5,5,"Virtual Asset Service Providers Bill 2025"
Ethiopia,Restricted,1,1,1,2,1,1,1,1,1,1,"No framework"
Georgia,Legal – Regulated,3,3,3,2,2,3,3,3,3,3,"NBG VASP rules"
Kazakhstan,Legal – Regulated,2,3,3,3,3,3,3,3,3,3,"AIFC mature"
Uzbekistan,Legal – Regulated,2,3,3,2,2,3,3,3,3,3,"NAPP VASP"
Moldova,Legal – Gray Zone,2,2,2,2,2,1,1,1,2,2,"No formal"
New Zealand,Legal – Regulated,3,4,3,3,3,2,3,2,2,2,"FMA; mature"
Cayman Islands,Legal – Offshore,2,4,3,2,4,3,3,3,3,3,"VASP Act 2020 + 2024 amend"
Bermuda,Legal – Progressive,2,4,3,2,4,3,3,3,3,3,"DABA mature"
Gibraltar,Legal – Regulated,2,4,3,2,4,3,3,3,3,3,"DLT framework mature"
Saudi Arabia,Restricted,3,3,2,3,3,2,2,2,2,3,"CMA exploring"
Venezuela,Legal – Gray Zone,5,1,1,3,1,1,1,1,2,2,"No coherent framework"
Peru,Legal – Gray Zone,3,2,2,2,2,2,2,2,2,2,"SBS draft"
Panama,Legal – Gray Zone,3,2,2,2,3,2,2,2,2,2,"No formal"
Jordan,Restricted,2,2,2,2,2,2,2,2,2,2,"CBJ ban-lite"
Seychelles,Legal – Light-touch,2,2,2,2,3,2,2,2,2,2,"FSA registry"
China,Total Ban,3,4,5,3,4,1,1,1,1,1,"Total ban; HK separate"
Egypt,Total Ban,2,2,2,2,2,1,1,1,1,1,"CBE ban"
Kuwait,Total Ban,1,2,2,1,2,1,1,1,1,1,"CBK ban"
Ghana,Total Ban,3,2,2,3,2,1,1,1,1,1,"BoG ban; draft framework discussed"
Algeria,Total Ban,1,1,1,1,1,1,1,1,1,1,"Total ban"
Tunisia,Total Ban,1,1,1,1,1,1,1,1,1,1,"Total ban"
Bangladesh,Total Ban,2,1,1,2,1,1,1,1,1,1,"Total ban"
Nepal,Total Ban,1,1,1,1,1,1,1,1,1,1,"Total ban"
Myanmar,Total Ban,1,1,1,1,1,1,1,1,1,1,"Total ban"
Iraq,Total Ban,1,1,1,1,1,1,1,1,1,1,"Total ban"
Afghanistan,Total Ban,1,1,1,1,1,1,1,1,1,1,"Total ban"
North Macedonia,Restricted,1,2,2,1,1,1,1,1,1,1,"No framework"
Bolivia,Total Ban (reviewing),1,1,1,1,1,1,1,1,1,2,"BCB ban under review"
Qatar,Total Ban,1,3,3,1,3,1,1,1,1,1,"QCB ban; QFC separate"
Tanzania,Restricted,2,2,2,2,2,1,1,1,1,1,"BoT ban"
Morocco,Total Ban (reviewing),3,2,2,3,2,2,2,2,3,3,"BAM draft framework 2025"
Sri Lanka,Restricted,2,1,1,2,1,1,1,1,1,1,"No framework"
Cambodia,Total Ban,2,1,1,2,1,1,1,1,1,1,"NBC ban"
Liechtenstein,Legal – Progressive,2,5,4,2,4,3,2,2,2,2,"TVTG mature 2020"
Luxembourg,Legal – MiCA,3,5,4,3,5,5,4,4,3,3,"MiCA + CSSF"
Ireland,Legal – MiCA,4,5,4,4,5,5,5,4,4,5,"MiCA + Central Bank; Coinbase EU"
Isle of Man,Legal – Regulated,1,4,3,1,3,2,2,2,2,2,"DBE framework"
Jersey,Legal – Regulated,1,4,3,1,3,2,2,2,2,2,"JFSC framework"
Guernsey,Legal – Regulated,1,4,3,1,3,2,2,2,2,2,"GFSC framework"
Bahamas,Legal – Regulated,1,3,3,1,3,3,3,3,2,3,"DARE Act 2024"
British Virgin Islands,Legal – Regulated,1,4,3,1,4,2,2,2,2,2,"VASP Act 2022"
Austria,Legal – MiCA,3,4,3,3,4,5,5,4,3,3,"MiCA + FMA"
Denmark,Legal – MiCA,3,4,3,3,4,5,5,4,3,3,"MiCA + FSA"
Sweden,Legal – MiCA,3,4,3,3,4,5,5,4,3,3,"MiCA + FI"
Cyprus,Legal – MiCA,3,3,3,3,4,5,4,4,3,3,"MiCA + CySEC"
Norway,Legal – MiCA,3,4,3,3,3,5,4,4,3,3,"MiCA-aligned via EEA"
Mauritius,Legal – Regulated,2,3,2,2,3,3,3,3,2,2,"VAITOS Act 2021"
Dominican Republic,Legal – Gray Zone,3,2,2,2,2,1,1,1,2,2,"No framework"
